row_id,name,address,telephone,aggregaterating,email,geo,url,image,openinghoursspecification,faxnumber,review,logo,datemodified,page_url
0,Rosenhof Ristorante Pizzeria,"{'streetaddress': 'Wiegandweg 49', 'addresscountry': 'DE', 'postalcode': '33619', 'addressregion': 'Nordrhein-Westfalen', 'addresslocality': 'Bielefeld'}",(0521)&nbsp;101619,"{'ratingvalue': '3.71', 'bestrating': '5', 'worstrating': '1', 'reviewcount': '7'}",info@rosenhof-bielefeld.de,"{'latitude': '52,037766', 'longitude': '8,475497'}",http://www.rosenhof-bielefeld.de,https://cdn.11880.com/rosenhof-ristorante-pizzeria_25347812_mw240h70_bielefeld.jpg,"[{'opens': ['18:00', '12:00'], 'dayofweek': 'Freitag', 'closes': ['14:30', '22:00']}, {'opens': '12:00', 'closes': '21:30', 'dayofweek': 'Sonntag'}, {'opens': ['18:00', '12:00'], 'dayofweek': 'Mittwoch', 'closes': ['14:30', '22:00']}, {'opens': ['18:00', '12:00'], 'closes': ['14:30', '22:00'], 'dayofweek': 'Donnerstag'}, {'opens': ['18:00', '12:00'], 'dayofweek': 'Samstag', 'closes': ['14:30', '22:00']}]",,"[{'datemodified': '2015-09-14', 'description': 'Anlässlich eines Geburtstages waren wir mit acht Personen im Rosenhof. Fast alle haben das Buffet gewählt, das war eine gute Wahl und kann', 'datepublished': '2015-09-14'}, {'description': 'Der Rosenhof ist ein schönes italienisches Restaurant. Die Lage und die Einrichtung ist wirklich kla...', 'datepublished': '2012-10-15', 'datemodified': '2012-10-15'}, {'datepublished': '2014-12-22', 'description': 'Wir hatten uns zur Ausrichtung unserer Weihnachtsfeier dieses Jahr für den Rosenhof entschieden. Mi...', 'datemodified': '2014-12-22'}, {'datemodified': '2012-08-19', 'datepublished': '2012-08-19', 'description': 'Einzig positiv: die 1a lage und der blick. Aber das weiss man dort offenbar auch. Dienstleistungsdiaspora!! Dienst am gast? Fehlanzeige. Bemühen um den gast? Erst recht nicht. Fazit: wem das rundherum egal und nur der blick etwas wert ist, mag dahin gehen. Wer es sich gut lassen oder gar gäste einladen möchte, mache um die unfreundlichkeit besser einen grossen bogen.'}, {'description': 'Allgemein Nach langer Zeit endlich wieder einmal im Rosenhof zum mittäglichen Buffet. Bedienung Toller und aufmerksamer Service, dennoch', 'datepublished': '2013-12-26', 'datemodified': '2013-12-26'}, {'datemodified': '2009-08-17', 'description': 'wir waren gestern nach langer zeit mal wieder im rosenhof und waren begeistert :-) tolles ambiente, ...', 'datepublished': '2009-08-17'}, {'datemodified': '2018-07-11', 'description': 'Bislang haben wir immer auf das Buffetangebot zugegriffen, welches in der Tat wohl empfehlenswert ist. Diesmal war es ein \\""A la', 'datepublished': '2018-07-11'}]",https://cdn.11880.com/rosenhof-ristorante-pizzeria_25347812_mw240h70_bielefeld.jpg,2020-09-29,https://www.11880.com/branchenbuch/bielefeld/071364418B27391313/rosenhof-ristorante-pizzeria.html
1,Bestattungsinstitut Denk GmbH & Co. Trauerhilfe KG,"{'addresslocality': 'München', 'postalcode': '80634'}",(089) 133843,,,,,,,,,,,https://www.11880.com/suche/bestatter/muenchen?page=3
2,Rechtsanwalt Karsten Hausmann Rechtsanwalt,"{'addresslocality': 'Leipzig', 'addresscountry': 'DE', 'postalcode': '04209', 'streetaddress': 'Lützner Str. 195', 'addressregion': 'Sachsen'}",(0341)&nbsp;4217854,"{'reviewcount': '11', 'bestrating': '5', 'ratingvalue': '4.91', 'worstrating': '1'}",kanzlei@ra-hausmann.de,"{'latitude': '51,322514', 'longitude': '12,287662'}",https://www.ra-hausmann.de,//static.11880.com/Portal/images/11880/photo-upload.png,"[{'dayofweek': 'Freitag', 'opens': '09:00', 'closes': '17:00'}, {'opens': '09:00', 'closes': '17:00', 'dayofweek': 'Donnerstag'}, {'dayofweek': 'Mittwoch', 'opens': '09:00', 'closes': '17:00'}, {'opens': '09:00', 'closes': '17:00', 'dayofweek': 'Dienstag'}, {'opens': '09:00', 'dayofweek': 'Montag', 'closes': '17:00'}]",(0341) 4217856,"[{'datemodified': '2018-04-19', 'datepublished': '2018-04-19', 'description': 'Mehrfach schon hatte ich Herrn Hausmann an meiner Seite bei Gericht. Er ist fachlich absolut kompetent, menschlich sehr angenehm, berät sehr'}, {'datemodified': '2019-05-07', 'datepublished': '2019-05-07', 'description': 'RA Hausmann hat mich im Zuge einer familienrechtlichen Angelegenheit sehr gewissenhaft und kompetent...'}, {'datemodified': '2018-01-15', 'description': 'Sehr gute Beratung. Schadensfälle werden zügig und kompetent reguliert. Ich würde immer wieder die Anwaltskanzlei Karsten Hausmann', 'datepublished': '2018-01-15'}, {'datepublished': '2018-05-03', 'description': 'Unser erster Termin mit Herrn Hausmann war kurzfristig möglich. Uns wurde geholfen und die Kanzlei ist wirklich sehr kompetent und', 'datemodified': '2018-05-03'}, {'datepublished': '2018-04-23', 'datemodified': '2018-04-23', 'description': 'Vielen Dank für kompetente, gut verständliche Beratung in schwieriger Situation. Möchte Herrn RA. Hausmann jederzeit weiter empfehlen.'}, {'datemodified': '2018-09-20', 'datepublished': '2018-09-20', 'description': 'Im Namen meiner Oma sage ich Danke für die kompetente Beratung, Herr Hausmann ist freundlich und...'}, {'datepublished': '2018-09-16', 'datemodified': '2018-09-16', 'description': 'Dank für kurzfristige und flexible Terminvereinbarung für einen Erbschaftsfall, kompetente Beratung, Bearbeitung und Kommunikation mit'}, {'datemodified': '2019-05-07', 'datepublished': '2019-05-07', 'description': 'RA Hausmann hat mich im Zuge einer familienrechtlichen Angelegenheit sehr gewissenhaft und kompeten...'}, {'datemodified': '2019-11-24', 'description': 'alles tiptop! Wir waren sehr zufrieden.', 'datepublished': '2019-11-24'}, {'datepublished': '2020-05-23', 'datemodified': '2020-05-23', 'description': 'Danke für die kurzfristige Terminvergabe und die kompetente Beratung. Mein Fazit, weiterzuempfehlen'}, {'datemodified': '2020-02-17', 'datepublished': '2020-02-17', 'description': 'RA Hausmann ist sehr kompetent in seinem Fachgebiet, geht auf die Probleme seiner Mandanten ein,...'}]",,2020-09-23,https://www.11880.com/branchenbuch/leipzig/081314253B27428236/rechtsanwalt-karsten-hausmann-rechtsanwalt.html
3,Dr. Rechtsanwalt Björn Klein,"{'addresslocality': 'Pulheim', 'postalcode': '50259'}",(02238) 9494741,,,,,,,,,,,https://www.11880.com/suche/rechtsanwalt-nachbarrecht/duesseldorf
4,"Blumberg Barbara Rechtsanwältin Schwerpunkt Mietrecht, WEG-Recht","{'addresslocality': 'Oberhausen', 'postalcode': '46045'}",(0208) 82342-0,,,,,,,,,,,https://www.11880.com/suche/rechtsanwalt-nachbarrecht/duesseldorf
5,Andreas Schäfer Rechtsanwalt und Notar,"{'postalcode': '45130', 'addresslocality': 'Essen'}",(0201) 72091-27,,,,,,,,,,,https://www.11880.com/suche/rechtsanwalt-nachbarrecht/duesseldorf
6,Christiane M. Schmelter Rechtsanwältin und Mediatorin,"{'postalcode': '45886', 'addresslocality': 'Gelsenkirchen'}",(0209) 3894898-0,,,,,,,,,,,https://www.11880.com/suche/rechtsanwalt-nachbarrecht/duesseldorf
7,Fuchsberger Immobilien,"{'addresscountry': 'DE', 'streetaddress': 'Oberweiser Str. 7', 'postalcode': '63179', 'addresslocality': 'Obertshausen', 'addressregion': 'Hessen'}",(06104)&nbsp;43864,,info@fuchsberger-immobilien.de,"{'latitude': '50,073592', 'longitude': '8,84146'}",http://www.fuchsberger-immobilien.de,"['https://cdn.11880.com/fuchsberger-immobilien_26571602_mw240h70_obertshausen.png', 'https://cdn.11880.com/fuchsberger-immobilien_26571602_mw640h480_obertshausen.jpg', 'https://cdn.11880.com/fuchsberger-immobilien_26560292_mw640h480_obertshausen.jpg']","[{'closes': '20:00', 'dayofweek': 'Mittwoch', 'opens': '09:00'}, {'closes': '20:00', 'opens': '09:00', 'dayofweek': 'Donnerstag'}, {'closes': '20:00', 'dayofweek': 'Freitag', 'opens': '09:00'}, {'closes': '20:00', 'opens': '09:00', 'dayofweek': 'Montag'}, {'closes': '16:00', 'dayofweek': 'Samstag', 'opens': '10:00'}, {'closes': '20:00', 'opens': '09:00', 'dayofweek': 'Dienstag'}]",(06104) 499515,,https://cdn.11880.com/fuchsberger-immobilien_26571602_mw240h70_obertshausen.png,2020-09-18,https://www.11880.com/branchenbuch/obertshausen/131072469Z4192032/fuchsberger-immobilien.html
8,Gastätte u. Restaurant Rademacher - Gutbürgerliche Küche,"{'postalcode': '47167', 'addresslocality': 'Duisburg'}",(0203) 591781,,,,,,,,,,,https://www.11880.com/suche/gaststaette/duisburg
9,Altstadthotel Zieglerbräu,"{'addresscountry': 'DE', 'addressregion': 'Bayern', 'streetaddress': 'Konrad-Adenauer-Str. 8', 'postalcode': '85221', 'addresslocality': 'Dachau'}",(08131)&nbsp;454396,"{'ratingvalue': '4.29', 'bestrating': '5', 'reviewcount': '21', 'worstrating': '1'}",info@zieglerbraeu.com,"{'latitude': '48,259432', 'longitude': '11,435705'}",http://www.restaurant-hotel-dachau.de,"['https://cdn.11880.com/altstadthotel-zieglerbraeu_28738_mw640h480_dachau.jpg', 'https://cdn.11880.com/altstadthotel-zieglerbraeu_28738_mw240h70_dachau.png', 'https://cdn.11880.com/altstadthotel-zieglerbraeu_91716_mw640h480_dachau.jpg']","[{'dayofweek': 'Freitag', 'closes': '01:00', 'opens': '07:00'}, {'closes': '01:00', 'opens': '07:00', 'dayofweek': 'Sonntag'}, {'closes': '01:00', 'opens': '07:00', 'dayofweek': 'Dienstag'}, {'closes': '01:00', 'dayofweek': 'Montag', 'opens': '07:00'}, {'dayofweek': 'Mittwoch', 'closes': '01:00', 'opens': '07:00'}, {'closes': '01:00', 'opens': '07:00', 'dayofweek': 'Donnerstag'}, {'dayofweek': 'Samstag', 'closes': '01:00', 'opens': '07:00'}]",(08131) 45439898,"[{'datepublished': '2010-02-20', 'description': 'Super Hotel. Super Renovierung. Tolle Gastgeber. Schöner Kachelofen in der guten Stube. Sehr histori...', 'datemodified': '2010-02-20'}, {'description': 'Dies ist ein typisch bayrisches Hotel und Resturant. Das Hotelzimmer war wirklich sehr sauber und der Service war auch TOP. Ebenfalls kann man im', 'datepublished': '2009-05-05', 'datemodified': '2009-05-05'}, {'description': 'Lecker, lecker gutes Essen freundliche Bedienung. Passt!', 'datepublished': '2011-10-12', 'datemodified': '2011-10-12'}, {'datepublished': '2017-12-05', 'description': 'schönes Lokal und sehr freundliche Inhaber', 'datemodified': '2017-12-05'}, {'description': 'Positiv: Großes, geräumiges Zimmer (Standard) Negativ: Bad alt und sanierungsbedürftig, aber sauber.', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'datemodified': '2017-11-01', 'description': 'Negativ: Gestört hat mich, dass das Hotel nicht über eigene Parkplätze verfügt. Es wird zwar eine Alternative (Parkhaus in der', 'datepublished': '2017-11-01'}, {'description': 'Wir haben hier unsere Hochzeit gefeiert und alle Zimmer auch gebucht. Es war alles super organisiert, die Mitarbeiter und die Chefin haben sich total', 'datemodified': '2017-02-01', 'datepublished': '2017-02-01'}, {'description': 'Positiv: Kann ich nur empfehlen.', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'datepublished': '2015-08-09', 'description': 'Sehr schönes Ambiente im Biergarten vor dem Haus. Dazu leckeres Essen zu fairen Preisen und das mit ...', 'datemodified': '2015-08-09'}, {'description': 'Positiv: gutes Frühstück, geräumige Zimmer, zentrale Lage Negativ: kein Föhn vorhanden, Seite zur Altstadt recht laut,', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'description': 'Positiv: Renoviertes Bad', 'datemodified': '2016-01-01', 'datepublished': '2016-01-01'}, {'datemodified': '2011-06-15', 'datepublished': '2011-06-15', 'description': 'Das ist doch mal echt bayrisch, erst ein gepflegtes Bier (Ludwig Thoma Urbräu) im Biergarten, netter Kellner mit Biertip, dann Abendessen bei Wein auf der Terrasse mit Traumblick! Zieglerbräu-Team macht weiter so!'}, {'description': 'Positiv: Das Frühstück ist reichhaltig Die Zimmer sind ruhig Negativ: Das Personal ist unfreundlich Die Zimmereinrichtung aus den 80er', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'description': 'Positiv: Das Hotel liegt zentral im Ort . Wer auf das internet hofft wird leicht mit der Funktionalität entäuscht. Es ist sehr rustikal hat', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'description': 'Positiv: Tolles Personal! Hotelzimmer in Renovierung! Zentrale Lage im alten Stadtkern - uhrig!', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'description': 'Nach der super Renovierung durch die wirklich hervorragende Gastronomie und Hotellerie Familie Schne...', 'datepublished': '2010-02-20', 'datemodified': '2010-02-20'}, {'description': 'Positiv: Personal sehr freundlich, Essen war auch sehr gut gewesen, Frühstückbuffet, fand ich persönlich vollkommen ausreichend, war', 'datemodified': '2018-03-01', 'datepublished': '2018-03-01'}, {'datemodified': '2013-09-16', 'description': 'Eher familiärer Gasthof als Hotel. Zentral gelegen, direkt am Marktplatz. Großes, modern eingerichteres Zimmer mit Sofa, Schreibtisch', 'datepublished': '2013-09-16'}, {'datepublished': '2017-09-01', 'datemodified': '2017-09-01', 'description': 'Negativ: Keine Parkplätze am Hotel'}, {'datepublished': '2015-02-01', 'description': 'Positiv: Lage Negativ: Die Zimmer, alt, Teppichboden, Wände abgenutzt', 'datemodified': '2015-02-01'}, {'description': 'Sehr schöne Wirtschaft mit einem wunderschönen Biergarten. Das Essen ist sehr lecker, reichlich und ...', 'datemodified': '2015-08-10', 'datepublished': '2015-08-10'}]",https://cdn.11880.com/altstadthotel-zieglerbraeu_28738_mw240h70_dachau.png,2020-09-24,https://www.11880.com/branchenbuch/dachau/140802420Z3385322/altstadthotel-zieglerbraeu.html
